full_address,lon,lat
"Flat 2, 56 North Castle Street, New Town, Edinburgh, EH2 3LU",-3.2043198,55.9534724
"3f2, 92 East Claremont Street, Broughton, Edinburgh, EH7 4JZ",-3.1906655,55.9637345
"Flat 7, 10 St Patrick Square, Newington, Edinburgh, EH8 9EZ",-3.1830125,55.9432215
"1f1, 25 Redbraes Place, Bonnington, Edinburgh, EH7 4LH",-3.189009,55.9691709
"Flat 8, 39 Lochrin Place, Tollcross, Edinburgh, EH3 9RB",-3.2058081,55.9422565
"15 Cluny Avenue, Morningside, Edinburgh, EH10 4RN",-3.2042565,55.9256253
"18 Brighton Place, Portobello West, Edinburgh, EH15 1LJ",-3.1156477,55.9522372
"18 Spring Gardens, Abbeyhill, Edinburgh, EH8 8HX",-3.1643935,55.9548907
"1f2, 32 Rankeillor Street, Newington, Edinburgh, EH8 9HZ",-3.1808609,55.9427198
"1f2, 57 Stenhouse Avenue, Stenhouse, Edinburgh, EH11 3DE",-3.258456,55.9338632
"540 Queensferry Road, Edinburgh, EH4 6AS",-3.3030041,55.96078
"63 Ravenscroft Street, Hyvots Bank, Edinburgh, EH17 8QJ",-3.1353543999999998,55.9031335
"7 Hailes Street, Tollcross, Edinburgh, EH3 9NF",-3.2047842,55.9411327
"Flat 10, 2 East Cromwell Street, North Leith, Edinburgh, EH6 6HF",-3.1762063,55.9760288
"15 Torwood Crescent, South Gyle, Edinburgh, EH12 9GL",-3.292325958938399,55.933937549999996
"16 Temple Park Crescent, Polwarth, Edinburgh, EH11 1HT",-3.2186438,55.9382202
"2f2, 26 Nelson Street, New Town, Edinburgh, EH3 6LJ",-3.1962818,55.9576747
"3f1, 2 Lord Russell Place, Sciennes, Edinburgh, EH9 1NQ",-3.1823488,55.9393531
"Flat 10, 4 East Pilton Farm Crescent, Pilton, Edinburgh, EH5 2GH",-3.2259009,55.971566
"Flat 4, 5 Ramsay Garden, Old Town, Edinburgh, EH1 2NA",-3.1966307,55.9493931
"Flat 5, 3 Coinyie-House Close, Old Town, Edinburgh, EH1 1NL",-3.1851935,55.9496588
"Flat 9, 3 Nightingale Way, Southside, Edinburgh, EH3 9EG",-3.1947042,55.944004
"Gf, 36 Buckingham Terrace, Dean, Edinburgh, EH4 3AP",-3.2202193,55.9548186
"15 Northfield Park, Mountcastle, Edinburgh, EH8 7QU",-3.1336169,55.950977
"1f, 12 Eton Terrace, Stockbridge, Edinburgh, EH4 1QD",-3.2133147,55.9549195
"1f3, 5 Beaverbank Place, Warriston, Edinburgh, EH7 4ER",-3.1945005,55.9638454
"55c Drum Street, Hyvots Bank, Edinburgh, EH17 8RH",-3.1306693,55.9047768
"Gf1, 218 Dalry Road, Edinburgh, EH11 2ES",-3.2246707,55.9404641
"131 Howden Hall Drive, Alnwickhill, Edinburgh, EH16 6UX",-3.174039684213707,55.90354725
"1f, 12 Comely Green Place, Abbeyhill, Edinburgh, EH7 5SY",-3.1656893999999998,55.9566533
"1f3, 81 Brunswick Street, Hillside, Edinburgh, EH7 5HS",-3.1804729,55.9603683
"26 Tryst Park, Swanston, Edinburgh, EH10 7HD",-3.218337,55.9009652
"2f1, 85 Hanover Street, Edinburgh, EH2 1EE",-3.1973503,55.9541402
"2f1, 85 Hanover Street, New Town, Edinburgh, EH2 1EE",-3.1973503,55.9541402
"2f2, 10 West Newington Place, Newington, Edinburgh, EH9 1QT",-3.1800284,55.9377902
"2f3, 5 Lower Granton Road, Trinity, Edinburgh, EH5 3RX",-3.2066134,55.9797597
"Flat 1, 16 St John's Hill, Dumbiedykes, Edinburgh, EH8 9UQ",-3.1806263,55.9486953
"Flat 2, 77 Gilmore Place, Tollcross, Edinburgh, EH3 9NU",-3.2092443,55.9408574
"Pf4, 8 Bothwell Street, Leith, Edinburgh, EH7 5PR",-3.1701981,55.9601068
"1f2, 32 Morningside Road, Morningside, Edinburgh, EH10 4DA",-3.2102413,55.9330847
"1f2, 4 Western Gardens, Saughtonhall, Edinburgh, EH12 5QD",-3.2484375,55.9447556
"1f2, 70 Thirlestane Road, Marchmont, Edinburgh, EH9 1AR",-3.1981203,55.9354935
"24 Warrender Park Road, Marchmont, Edinburgh, EH9 1JG",-3.2024929,55.9385081
"3f2, 17 Drumdryan Street, Tollcross, Edinburgh, EH3 9JZ",-3.2024444,55.9426144
"526 Lanark Road, Woodhall, Juniper Green, EH14 5DJ",-3.2839394,55.9043178
"Flat 2, 76 Rannoch Road, Clerwood, Edinburgh, EH4 7EN",-3.2806892,55.9527638
"Flat 22, 19 John's Place, South Leith, Edinburgh, EH6 7ED",-3.1684859,55.9722268
"Pf2, 14 Caledonian Road, Dalry, Edinburgh, EH11 2DG",-3.2175866,55.9438272
"Pf2, 37 East Crosscauseway, Newington, Edinburgh, EH8 9HE",-3.1824434,55.9436751
"2 Munro Drive, Colinton, Edinburgh, EH13 0EG",-3.260334659201634,55.9016932
"4 Porteous' Pend, Old Town, Edinburgh, EH1 2HP",-3.1969839,55.9467105
"1f2, 6 Waverley Park Terrace, Abbeyhill, Edinburgh, EH8 8EP",-3.166671,55.9543642
"Flat 13, 50 Annandale Street, Broughton, Edinburgh, EH7 4FA",-3.186124,55.9614175
