id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13666656,"Cosy, comfortable and homely Edinburgh flat.",21501952,Stuart,,Meadowbank and Abbeyhill North,55.95694,-3.16291,Entire home/apt,143,2,602,2025-02-09,5.71,2,157,62,
13667133,Central Cosy Warm Home with Super Fast Wi-Fi,13135752,Pier Luigi,,Easter Road and Hawkhill Avenue,55.96483,-3.17497,Entire home/apt,90,3,256,2025-02-11,2.43,10,85,25,EH-70553-F
13706880,Spacious 2BR Apt in New Town/Prime Location,79991656,Simone,,New Town West,55.956161,-3.208339,Entire home/apt,,1,185,2024-12-18,1.77,1,0,18,EH-70651-F
13728554,City Centre 2 Bedroom Apt &  Private garden access,80288040,Elaine,,Deans Village,55.9502,-3.2095,Entire home/apt,323,5,8,2019-08-25,0.08,1,0,0,
13729573,Bright Basement Flat - New Town - Close to Centre,41142369,Sarah,,New Town West,55.95847,-3.20569,Entire home/apt,85,10,91,2025-02-13,1.03,1,16,27,
13741044,"City centre, spacious double room",80444289,Gilly,,New Town West,55.95608,-3.20518,Private room,104,2,294,2025-03-02,2.81,1,96,68,
13767091,"Salmond Place, Edinburgh",80751573,Scott,,Meadowbank and Abbeyhill North,55.95771,-3.16771,Entire home/apt,150,5,62,2023-09-16,0.77,1,68,0,
13805189,New Town Lovely Large Room in 3 Bedrooms Apartment,74109557,Beata,,Stockbridge,55.95971,-3.20495,Private room,124,2,95,2024-10-06,0.91,3,318,16,
13822029,Royal Mile Holiday Apartment,81440727,Greig,,"Canongate, Southside and Dumbiedykes",55.95323,-3.17667,Entire home/apt,123,2,511,2025-02-16,4.87,2,143,62,
13829229,Cosy twin room,81531337,Yasmin,,"Jewel, Brunstane and Newcraighall",55.9377091,-3.1147273,Private room,81,3,9,2024-08-26,0.44,1,272,4,EH-70772-F
